label,channel,start_s,best_step,SNR_raw_dB,SNR_dip_dB,Delta_SNR_dB,EEG_total_0p5_500_raw,EEG_total_0p5_500_dip,EEG_total_delta_pct,NonEEG_total_0p5_500_raw,EEG_0p5_40_raw,EEG_0p5_40_dip,EEG_0p5_40_delta_pct,EEG_80_250_raw,EEG_80_250_dip,HF1_suppress_pct,EEG_250_500_raw,EEG_250_500_dip,HF2_suppress_pct,HF_total_suppress_pct,selection,agg,snr_mode,model,is_artifact
N2,T3,360.000000,2700,-137.300927,-139.030038,-1.729111,8.606958e-08,5.780142e-08,-32.843373,4.623197e+06,8.526155e-08,5.787303e-08,-32.122938,1.098019e-10,4.944442e-12,95.496984,9.160442e-11,3.914047e-13,99.572728,97.350719,snr,median,raw,eegnet,0
N3,T3,1.140000e+03,3000,-135.658027,-137.052683,-1.394656,1.359823e-07,9.863179e-08,-27.467207,5.003631e+06,1.352370e-07,9.868995e-08,-27.024472,1.278238e-10,6.620891e-12,94.820339,1.025853e-10,5.332575e-13,99.480187,96.895037,snr,median,raw,eegnet,0
R,T3,6.840000e+03,2600,-137.487794,-137.567563,-0.079769,2.273278e-08,2.231905e-08,-1.819975,1.274771e+06,2.214610e-08,2.254764e-08,1.813138,5.043820e-11,2.218097e-12,95.602433,7.660348e-11,1.730200e-13,99.774139,98.117863,snr,median,raw,eegnet,0
L,T3,2.856000e+04,1250,-141.993136,-141.934979,0.058157,7.284473e-09,7.382677e-09,1.348120,1.152688e+06,5.148026e-09,7.417963e-09,44.093323,8.707579e-10,1.173148e-12,99.865273,2.712510e-10,8.978353e-14,99.966900,99.889411,snr,median,raw,eegnet,0
W,T3,0.000000,1550,-143.671749,-141.986198,1.685550,1.827271e-08,2.693754e-08,47.419528,4.255767e+06,1.717964e-08,2.694421e-08,56.838041,2.220598e-10,3.718780e-12,98.325333,1.239270e-10,2.826505e-13,99.771924,98.843477,snr,median,raw,eegnet,1
W,T3,30.000000,600,-142.116915,-143.083631,-0.966716,2.779522e-08,2.224838e-08,-19.956077,4.525447e+06,1.355244e-08,2.238189e-08,65.150287,7.293761e-09,3.127962e-12,99.957115,2.326067e-09,2.347660e-13,99.989907,99.965044,mse,median,raw,eegnet,0
N1,T3,60.000000,600,-142.008639,-143.297254,-1.288614,2.685040e-08,1.995673e-08,-25.674373,4.263975e+06,2.565262e-08,1.999746e-08,-22.045155,1.981389e-10,2.236546e-12,98.871229,1.204023e-10,1.687750e-13,99.859825,99.244897,mse,median,raw,eegnet,0
N2,T3,360.000000,600,-137.300927,-141.203590,-3.902663,8.606958e-08,3.504156e-08,-59.286941,4.623197e+06,8.526155e-08,3.506992e-08,-58.867829,1.098019e-10,3.685038e-12,96.643952,9.160442e-11,2.699693e-13,99.705291,98.036314,mse,median,raw,eegnet,0
N3,T3,1.140000e+03,600,-135.658027,-139.210726,-3.552699,1.359823e-07,6.000848e-08,-55.870387,5.003631e+06,1.352370e-07,5.999516e-08,-55.637039,1.278238e-10,6.129003e-12,95.205153,1.025853e-10,4.661684e-13,99.545584,97.137638,mse,median,raw,eegnet,0
R,T3,6.840000e+03,600,-137.487794,-139.129387,-1.641593,2.273278e-08,1.557734e-08,-31.476322,1.274771e+06,2.214610e-08,1.565262e-08,-29.321078,5.043820e-11,1.835481e-12,96.361003,7.660348e-11,1.522024e-13,99.801314,98.435421,mse,median,raw,eegnet,0
L,T3,2.856000e+04,600,-141.993136,-142.516447,-0.523310,7.284473e-09,6.457540e-09,-11.351993,1.152688e+06,5.148026e-09,6.522116e-09,26.691571,8.707579e-10,9.720924e-13,99.888363,2.712510e-10,8.249447e-14,99.969588,99.907655,mse,median,raw,eegnet,0
